Class,Precision,Recall,F1-Score,Accuracy,True Negatives,specificity,sensitivity,False Positives,False Negatives,True Positives
nv,0.7695072468854032,0.7306419589675711,0.7412110376012292,0.7306419589675711,539,0.8938640132669984,0.7830396475770925,64,197,711
mel,0.7695072468854032,0.7306419589675711,0.7412110376012292,0.7306419589675711,1199,0.8947761194029851,0.7076023391812866,141,50,121
bkl,0.7695072468854032,0.7306419589675711,0.7412110376012292,0.7306419589675711,1187,0.9173106646058733,0.7373271889400922,107,57,160
bcc,0.7695072468854032,0.7306419589675711,0.7412110376012292,0.7306419589675711,1380,0.9732016925246827,0.6129032258064516,38,36,57
akiec,0.7695072468854032,0.7306419589675711,0.7412110376012292,0.7306419589675711,1456,0.9918256130790191,0.2558139534883721,12,32,11
vasc,0.7695072468854032,0.7306419589675711,0.7412110376012292,0.7306419589675711,1471,0.9966124661246613,0.6,5,14,21
df,0.7695072468854032,0.7306419589675711,0.7412110376012292,0.7306419589675711,1427,0.972733469665985,0.5227272727272727,40,21,23
