Class,Precision,Recall,F1-Score,Accuracy,Best Val Loss,True Negatives,specificity,sensitivity,False Positives,False Negatives,True Positives
nv,0.8769230769230769,0.9416299559471366,0.9081253319171535,0.8305757776307081,"tensor(0.3806, device='cuda:0')",483,0.8009950248756219,0.9416299559471366,120,53,855
mel,0.7394957983193278,0.5146198830409356,0.6068965517241379,0.8305757776307081,"tensor(0.3806, device='cuda:0')",1309,0.9768656716417911,0.5146198830409356,31,83,88
bkl,0.8146067415730337,0.6682027649769585,0.7341772151898733,0.8305757776307081,"tensor(0.3806, device='cuda:0')",1261,0.9744976816074189,0.6682027649769585,33,72,145
bcc,0.7777777777777778,0.8279569892473119,0.8020833333333334,0.8305757776307081,"tensor(0.3806, device='cuda:0')",1396,0.9844851904090268,0.8279569892473119,22,16,77
akiec,0.5692307692307692,0.8604651162790697,0.6851851851851851,0.8305757776307081,"tensor(0.3806, device='cuda:0')",1440,0.9809264305177112,0.8604651162790697,28,6,37
vasc,0.5681818181818182,0.7142857142857143,0.6329113924050633,0.8305757776307081,"tensor(0.3806, device='cuda:0')",1457,0.9871273712737128,0.7142857142857143,19,10,25
df,0.9032258064516129,0.6363636363636364,0.7466666666666666,0.8305757776307081,"tensor(0.3806, device='cuda:0')",1464,0.9979550102249489,0.6363636363636364,3,16,28
