Class,Precision,Recall,F1-Score,Accuracy,True Negatives,specificity,sensitivity,False Positives,False Negatives,True Positives
nv,0.7454238432850411,0.6684315023163467,0.6880669157424883,0.6684315023163467,550,0.912106135986733,0.6894273127753304,53,282,626
mel,0.7454238432850411,0.6684315023163467,0.6880669157424883,0.6684315023163467,1132,0.844776119402985,0.7192982456140351,208,48,123
bkl,0.7454238432850411,0.6684315023163467,0.6880669157424883,0.6684315023163467,1176,0.9088098918083463,0.6682027649769585,118,72,145
bcc,0.7454238432850411,0.6684315023163467,0.6880669157424883,0.6684315023163467,1367,0.964033850493653,0.6021505376344086,51,37,56
akiec,0.7454238432850411,0.6684315023163467,0.6880669157424883,0.6684315023163467,1454,0.9904632152588556,0.37209302325581395,14,27,16
vasc,0.7454238432850411,0.6684315023163467,0.6880669157424883,0.6684315023163467,1441,0.9762872628726287,0.7714285714285715,35,8,27
df,0.7454238432850411,0.6684315023163467,0.6880669157424883,0.6684315023163467,1445,0.9850034083162917,0.38636363636363635,22,27,17
