Class,Precision,Recall,F1-Score,Accuracy,True Negatives,specificity,sensitivity,False Positives,False Negatives,True Positives
nv,0.8986272439281943,0.9372246696035242,0.9175202156334231,0.8378557246856386,507,0.8407960199004975,0.9372246696035242,96,57,851
mel,0.6666666666666666,0.5964912280701754,0.6296296296296297,0.8378557246856386,1289,0.9619402985074627,0.5964912280701754,51,69,102
bkl,0.7673267326732673,0.7142857142857143,0.7398568019093079,0.8378557246856386,1247,0.9636785162287481,0.7142857142857143,47,62,155
bcc,0.8441558441558441,0.6989247311827957,0.7647058823529411,0.8378557246856386,1406,0.9915373765867419,0.6989247311827957,12,28,65
akiec,0.54,0.627906976744186,0.5806451612903226,0.8378557246856386,1445,0.9843324250681199,0.627906976744186,23,16,27
vasc,0.90625,0.8285714285714286,0.8656716417910447,0.8378557246856386,1473,0.9979674796747967,0.8285714285714286,3,6,29
df,0.74,0.8409090909090909,0.7872340425531915,0.8378557246856386,1454,0.9911383776414451,0.8409090909090909,13,7,37
