Class,Precision,Recall,F1-Score,Accuracy,True Negatives,specificity,sensitivity,False Positives,False Negatives,True Positives
nv,0.9067245119305857,0.920704845814978,0.9136612021857923,0.8405029781601588,517,0.857379767827529,0.920704845814978,86,72,836
mel,0.6324324324324324,0.6842105263157895,0.6573033707865168,0.8405029781601588,1272,0.9492537313432836,0.6842105263157895,68,54,117
bkl,0.8010471204188482,0.7050691244239631,0.7499999999999999,0.8405029781601588,1256,0.9706336939721792,0.7050691244239631,38,64,153
bcc,0.8131868131868132,0.7956989247311828,0.8043478260869565,0.8405029781601588,1401,0.9880112834978844,0.7956989247311828,17,19,74
akiec,0.6595744680851063,0.7209302325581395,0.6888888888888888,0.8405029781601588,1452,0.989100817438692,0.7209302325581395,16,12,31
vasc,0.725,0.8285714285714286,0.7733333333333333,0.8405029781601588,1465,0.9925474254742548,0.8285714285714286,11,6,29
df,0.8571428571428571,0.6818181818181818,0.759493670886076,0.8405029781601588,1462,0.9965916837082481,0.6818181818181818,5,14,30
