Class,Precision,Recall,F1-Score,Accuracy,Best Val Loss,True Negatives,specificity,sensitivity,False Positives,False Negatives,True Positives
0,"0,9401140684410646","0,9705593719332679","0,9550941574118782","0,9541587901701323","tensor(0,2477, device='cuda:0')",1034,"0,9425706472196901","0,9705593719332679",63,30,989
1,"0,9571428571428572","0,891846921797005","0,9233419465977606","0,9541587901701323","tensor(0,2477, device='cuda:0')",1491,"0,9841584158415841","0,891846921797005",24,65,536
2,"0,9863387978142076","0,9972375690607734","0,9917582417582417","0,9541587901701323","tensor(0,2477, device='cuda:0')",1749,"0,9971493728620296","0,9972375690607734",5,1,361
3,"0,9637681159420289","0,9925373134328358","0,9779411764705882","0,9541587901701323","tensor(0,2477, device='cuda:0')",1977,"0,9974772956609486","0,9925373134328358",5,1,133
